"","Word","SER","ARC","Iconicity"
"1","portion",2.6,0.659013987,0.416666667
"2","shower",4.363636364,0.555481911,0.941176471
"3","hit",2.4,0.661454678,1
"4","flesh",3.1,0.57995218,0.916666667
"5","hog",3.333333333,0.472270966,0
"6","naughty",4.4,0.457613289,0.4
"7","premier",2.7,0.630473971,1.142857143
"8","ugly",4.454545455,0.56958586,1.8
"9","pour",3,0.504331768,1.3
"10","future",3.5,0.69244647,1.071428571
"11","pea",4.454545455,0.530355096,1.6
"12","moan",4.5,0.260912985,3.714285714
"13","solid",3.363636364,0.649710834,1.153846154
"14","button",3.6,0.590131521,0.5
"15","name",2.333333333,0.688795388,0.071428571
"16","peach",4.181818182,0.539026856,0
"17","expand",3.3,0.630742311,1.214285714
"18","bite",3.3,0.558507323,2
"19","kill",2.818181818,0.649131894,1.692307692
"20","howl",3.833333333,0.377485961,4
"21","chase",2.545454545,0.640242457,0.692307692
"22","gold",2.916666667,0.673070312,0.692307692
"23","blood",4.3,0.660014272,0.333333333
"24","seat",3.181818182,0.641798437,1.454545455
"25","hunt",3.2,0.649410784,0.357142857
"26","dawdle",2.1,0.222574875,1.727272727
"27","behind",2.909090909,0.689270914,1.545454545
"28","crisp",3.333333333,0.502856731,3.7
"29","fail",3.272727273,0.618704617,1
"30","party",4.8,0.667742491,1.923076923
"31","tractor",3.909090909,0.563177228,0.583333333
"32","ring",4.2,0.659742117,3.153846154
"33","lamp",2.727272727,0.570845127,0.071428571
"34","defense",2.909090909,0.664430916,1
"35","car",3,0.670732021,0.466666667
"36","harpoon",2.818181818,0.403696477,1.1
"37","river",5.7,0.646609187,1
"38","cream",3.416666667,0.591964722,0.214285714
"39","plum",3.3,0.511947334,0.727272727
"40","same",1.583333333,0.70001626,0
"41","contact",3.9,0.671305001,0.2
"42","stork",1.727272727,0.38512072,0.636363636
"43","stroll",2.636363636,0.372552186,0.818181818
"44","essence",3.5,0.60234797,0.846153846
"45","frost",4.454545455,0.595067084,0.615384615
"46","tie",2.7,0.612076044,0.461538462
"47","live",2.454545455,0.682081461,0.416666667
"48","toad",3,0.504108667,0.5
"49","life",2.818181818,0.694600046,0.333333333
"50","stop",1.7,0.675610185,2.5
"51","rooster",4.363636364,0.476748884,0.833333333
"52","rock",3.545454545,0.672360241,1.272727273
"53","knack",2.416666667,0.395658791,0.7
"54","favor",3.3,0.652745664,0.153846154
"55","cat",2.6,0.644705594,0.538461538
"56","deluxe",2.5,0.561752617,0.461538462
"57","crook",1.9,0.495157659,1.461538462
"58","push",2.4,0.625590146,2.333333333
"59","breakfast",5.7,0.588067353,0.916666667
"60","bogus",3,0.397935539,1.769230769
"61","council",2,0.658219874,0.076923077
"62","punk",2.272727273,0.604619622,1.5
"63","release",2.818181818,0.673285186,2
"64","social",3.2,0.67447114,0.428571429
"65","ape",4.181818182,0.514373481,1.2
"66","weed",4.4,0.540414929,1.7
"67","bronze",3.454545455,0.613480747,0.083333333
"68","leech",3.6,0.40388599,2
"69","roll",3.166666667,0.641375244,1.333333333
"70","clang",4.5,0.194030181,3.857142857
"71","gush",4.5,0.305185944,3.272727273
"72","balloon",5.454545455,0.576168954,1.714285714
"73","filth",3.545454545,0.379317522,1.666666667
"74","help",1.636363636,0.691473424,1.533333333
"75","paper",3.818181818,0.676080406,0.416666667
"76","chew",3.818181818,0.443081468,2.214285714
"77","yell",4.363636364,0.439161539,0.583333333
"78","fly",3.4,0.64648056,1.923076923
"79","frog",3.636363636,0.568015337,2.181818182
"80","please",2.1,0.604104698,0.6
"81","church",2.5,0.662733018,0.076923077
"82","fluid",5.1,0.60946995,1.083333333
"83","fork",3,0.570300579,0.818181818
"84","slum",2.9,0.457706064,2.4
"85","gift",3.090909091,0.636276901,0.785714286
"86","back",2.5,0.693613648,0.4
"87","beauty",5.181818182,0.639753699,0.833333333
"88","flick",2.272727273,0.481498301,2.615384615
"89","trust",2.272727273,0.654198945,0.2
"90","burst",3.2,0.583508968,2.916666667
"91","sigh",3.909090909,0.323712856,2.8
"92","strain",3.727272727,0.593959272,1.769230769
"93","zip",4.181818182,0.529364705,3.4
"94","sunny",5.1,0.566128254,2
"95","tear",2.818181818,0.565919936,0.555555556
"96","odd",2.454545455,0.617686749,1
"97","heaven",4,0.618491828,0
"98","poet",4,0.629196405,0.8
"99","put",1.3,0.690103352,1.230769231
"100","glimmer",4.2,0.24542965,2.1
